nm_place,type_place
总部基地·金融港北区16号楼,产业园区
总部基地·金融港北区14号楼,产业园区
总部基地·金融港北区13号楼,产业园区
总部基地·金融港北区11号楼,产业园区
总部基地·金融港北区10号楼,产业园区
总部基地·金融港北区,产业园区
总部基地·金融港17区,产业园区
总部基地·金融港,产业园区
总部国际8号楼,产业园区
总部国际7号楼,产业园区
总部国际6号楼,产业园区
总部国际3号楼,产业园区
总部国际30号楼,产业园区
总部国际29号楼,产业园区
总部国际28号楼,产业园区
总部国际27号楼,产业园区
总部国际26号楼,产业园区
总部国际25号楼,产业园区
总部国际21号楼,产业园区
总部国际20号楼,产业园区
总部国际1号楼,产业园区
总部国际19号楼,产业园区
总部国际18号楼,产业园区
总部国际17号楼,产业园区
总部国际16号楼,产业园区
总部国际15号楼,产业园区
总部国际10号楼,产业园区
总部国际,产业园区
棕熊空间云小馆,咖啡厅
棕榈湾水上运动中心,其他体育场馆
棕榈泉体育健身中心,其他体育场馆
棕榈泉生活广场,综合商场
棕榈泉国际公寓,住宅楼
棕榈海滩,酒吧茶馆
综合训练馆,其他体育场馆
综合性多功能室内文化活动场所,其他休闲场馆
综合文化广场,城市广场
综合体验训练馆,其他体育场馆
综合体验馆,其他体育场馆
综合广场,综合商场
综合馆,其他体育场馆
综合格斗联盟,其他体育场馆
综合格斗,其他体育场馆
宗艺舞蹈艺术中心,培训机构
宗勋武馆,其他体育场馆
字在茶舍,酒吧茶馆
字母格斗馆,其他体育场馆
字里行间陌上花开体验馆,其他休闲场馆
字里行间(金融街购物中心店),书店
自助图书馆(农展馆南路),其他休闲场馆
自助图书馆,其他休闲场馆
自助咖啡吧,咖啡厅
自主创新大厦,写字楼
自主城游泳健身会所,其他体育场馆
自在云·私房茶,酒吧茶馆
自在鱼瑜伽普拉提,其他体育场馆
自在堂(诺德中心2期店),酒吧茶馆
自在书房(金隅大成时代中心写字楼店),书店
自在时光(华威大厦店),咖啡厅
自在山庄,其他休闲场馆
自在活动站,其他休闲场馆
自在东篱,咖啡厅
自在茶艺,酒吧茶馆
自在茶舍,酒吧茶馆
自在博物书店(阜成门店),其他休闲场馆
自游自在农家院,其他休闲场馆
自由重力,其他体育场馆
自由运动场(NTP新城广场店),其他体育场馆
自由阳光瑜伽(石景山店),其他体育场馆
自由天堂·团建&烧烤·轰趴馆,其他休闲场馆
自由人影城(北京世界之花店),电影院
自由人乔氏台球俱乐部,体育俱乐部
自由鸟咖啡FREETCOFFEE,咖啡厅
自由咖啡,咖啡厅
自由交流书店,书店
自由健身工作室(九棵树店),其他体育场馆
自由海台球俱乐部,体育俱乐部
自由而无用咖啡(歌华店),咖啡厅
自由而无用(歌华店),咖啡厅
自由地带 万优汇店,综合商场
自由创意区,产业园区
自由避难所·实景沉浸式剧场,其他休闲场馆
自由8无人24h自助台球,其他体育场馆
自由8 24h无人自助台球(亦庄BDA店),其他体育场馆
自行车训练场,其他体育场馆
自习室(北京市平谷区图书馆),其他休闲场馆
自绅台球-24h自助台球,其他体育场馆
自然之声文化发展,其他休闲场馆
自然之光樱桃采摘园,其他休闲场馆
自然吸气·剧本推理,其他休闲场馆
自然王国星空营地,其他户外景区
自然天成健身中心,其他体育场馆
自然书馆(后海时光店),其他休闲场馆
自然肌力健身体能馆,其他体育场馆
自然博物馆公园,游园
北京自然博物馆,博物馆
自慢堂,酒吧茶馆
自来水集团有限责任公司培训中心,培训机构
自来水集团公司老干部活动站,其他休闲场馆
自空间CBD写字园,产业园区
自健身(苹果社区店),其他体育场馆
自健身(梅地亚店),其他体育场馆
自健身(朝阳门店),其他体育场馆
自动咖啡机,咖啡厅
自安然瑜伽普拉提(茶咖啡阅读空间),其他体育场馆
自安然瑜伽普拉提,其他体育场馆
自安然酒店-健身房,其他体育场馆
紫竹院街道综合文化中心,文化活动中心（街道）
紫竹院街道综合文化活动中心,其他体育场馆
紫竹院公园-羽毛球场,其他体育场馆
紫竹院公园雪场(暂停营业),其他体育场馆
紫竹院公园-健身区,其他体育场馆
紫竹院公园-冰场(暂停营业),其他体育场馆
紫竹院公园,历史名园
紫竹院·北京香格里拉饭店,酒店
紫竹花园,住宅楼
紫竹调茶楼,酒吧茶馆
紫云斋书店,书店
紫云壹号展示中心,展览馆
紫云轩,酒吧茶馆
紫云溪,酒吧茶馆
紫云台高兴采摘园,其他休闲场馆
紫云山庄山地有机樱桃采摘园,其他休闲场馆
紫云山庄,其他休闲场馆
紫云蜂胜文化创意产业园,产业园区
紫越新星棒垒球俱乐部,体育俱乐部
紫月缘,其他体育场馆
紫院(国际二店),咖啡厅
紫玉茗天茶馆,酒吧茶馆
紫玉名陶·禅茶小馆,酒吧茶馆
紫雨果香生态种植园,其他休闲场馆
紫屿轰趴,其他休闲场馆
紫悠轩茶艺(琪明茶叶专卖店),酒吧茶馆
紫逸阁·茶馆,酒吧茶馆
紫阳网球俱乐部,体育俱乐部
紫阳花(网信大厦店),酒吧茶馆
紫轩健身,其他体育场馆
紫翔商城,综合商场
紫霞画廊,画廊
紫溪路亚俱乐部,体育俱乐部
紫薇瑜伽,其他体育场馆
紫微星茶苑(北京马连道茶城店),酒吧茶馆
紫藤轩农家餐厅,其他休闲场馆
紫藤树上9623,咖啡厅
紫檀休闲园,游园
紫檀万豪行政公寓-健身中心,其他体育场馆
紫檀宫-开放式影视厅,剧场
紫杉树扭蛋(搜秀城店),其他休闲场馆
紫砂专卖店,酒吧茶馆
紫瑞公园,社区公园
紫气东来樱桃园,其他休闲场馆
紫琪尔培训中心,培训机构
紫瓯·璞源茶空间(方圆大厦店),酒吧茶馆
紫茗轩,酒吧茶馆
紫林木艺(十里河天娇文化城店),其他休闲场馆
紫蘭春茶舍,酒吧茶馆
紫菁阁瑜伽馆(刘家窑店),其他体育场馆
紫荆书咖,酒吧茶馆
紫荆花科技孵化园,产业园区
紫荆花孵化园,产业园区
紫荆花科技孵化园,产业园区
紫荆关,其他户外景区
紫禁之巅文创馆,其他休闲场馆
紫禁轩画廊,画廊
故宫博物院,博物馆
紫金轩茶庄,酒吧茶馆
紫金台球俱乐部,体育俱乐部
紫金数码园1号楼,产业园区
紫金数码园,产业园区
紫金大厦,写字楼
紫金城市书院,书店
紫金宾馆,酒店
紫金宾馆,酒店
紫光园马家堡西里,咖啡厅
紫光影城(蓝岛店),电影院
紫光科技园北京总部,产业园区
紫光教育中心,培训机构
紫光国际交流中心健身中心,其他体育场馆
紫光·科技园,产业园区
紫谷私家小菜园,其他休闲场馆
紫谷农家乐,其他休闲场馆
紫芳书苑(世纪茶贸中心店),书店
紫冬花咖啡厅,咖啡厅
紫成嘉园,产业园区
紫成创业园C2区,产业园区
紫成创业园C1区,产业园区
紫成创业园B2区,产业园区
紫成创业园B1区,产业园区
紫晨轩珠宝(工美大厦店),综合商场
梓宁瑜伽普拉提生活馆(中信城店),其他体育场馆
梓霖堂古法薰香手工制作空间,其他休闲场馆
梓琳瑜伽&女子康复会所,其他体育场馆
籽院,其他休闲场馆
子阳健身,其他体育场馆
子心瑜伽,其他体育场馆
子桐画廊,画廊
子拾音乐餐吧,酒吧茶馆
子时桌游剧本轰趴馆团建年会(石景山万达店),其他休闲场馆
子日书局,书店
子人健身馆(三里屯旗舰店),其他体育场馆
子琪樱桃采摘园(子琪樱桃采摘园1),其他休闲场馆
子佩心舍,咖啡厅
子木乐园游泳体能训练中心,其他体育场馆
子木乐园体能训练跳绳中心,培训机构
子林草莓园,其他休闲场馆
子骏龍坤,其他体育场馆
子骏晨坤,其他休闲场馆
子君子道书店(新都购物广场店),书店
子涵茶庄,酒吧茶馆
子福轩,酒吧茶馆
子非鱼生态馆(南宫商业街店),酒吧茶馆
子弹飞大宋拳场,其他体育场馆
滋生小院,酒吧茶馆
资和信百货商场,综合商场
姿轩瑜伽(中发百旺商城店),其他体育场馆
姿轩瑜伽,其他体育场馆
姿迈健身工作室,其他体育场馆
濯韵轩 茶馆,酒吧茶馆
晫艺新戏剧,剧场
卓著中心,写字楼
卓展时代商城,综合商场
卓展购物中心,综合商场
卓越艺术,
卓越一击台球俱乐部,体育俱乐部
卓越阳光健身连锁(望京店),其他体育场馆
卓越武道跆拳道馆,其他体育场馆
卓越武道(潘家园馆)(暂停营业),其他体育场馆
卓越台球俱乐部,体育俱乐部
卓越人健身工作室(龙旗广场店),其他体育场馆
卓越人健身工作室,其他体育场馆
卓越培训中心,培训机构
卓越龙冠武术散打泰拳搏击俱乐部(金源店),体育俱乐部
卓越龙冠武术散打搏击健身俱乐部(刘家窑店),体育俱乐部
卓越龙冠散打泰拳搏击俱乐部,体育俱乐部
卓越龙冠散打搏击健身俱乐部(首经贸店),体育俱乐部
卓越龙冠国际武术搏击俱乐部(亦庄天华西路培训店),体育俱乐部
卓越君跆拳道悟道馆,其他体育场馆
卓越健身,其他体育场馆
卓越冠军武道,其他体育场馆
卓越方圆会计培训中心,培训机构
卓跃儿童运动馆(李老社区商业中心店),其他体育场馆
卓瑜瑜伽馆,其他体育场馆
卓逸跆拳道(海淀店),其他体育场馆
卓逸跆拳道(东城店),其他体育场馆
卓逸跆拳道(常营店),其他体育场馆
卓艺文化艺术沙龙,其他休闲场馆
卓拓普拉提(西单店),其他体育场馆
卓拓精品私教健身工作室(望京店),其他体育场馆
卓拓精品私教健身(西单店),其他体育场馆
卓拓健身旗舰店,其他体育场馆
卓能健身会所,其他体育场馆
卓能健身(怀柔店),其他体育场馆
卓美剧场(第5大道亚运村图书大厦店),剧场
卓伦乔氏台球会所,其他体育场馆
卓锦万代国际俱乐部,体育俱乐部
卓家营村文化活动广场,其他休闲场馆
卓尔乐新维度娱乐运动空间,其他休闲场馆
卓尔乐儿童娱乐中心,其他体育场馆
茁越搏击体能馆(天秀路),其他体育场馆
茁跃少儿篮球运动馆,其他体育场馆
茁鸿轩茶庄,酒吧茶馆
桌游猫儿童益智趣玩馆,其他休闲场馆
桌游吧(学院南路店),其他休闲场馆
桌木鸟桌游讲解畅玩馆,其他休闲场馆
桌迷藏咖啡桌游吧(王府井店),其他休闲场馆
桌迷藏咖啡桌游吧(尚都店),其他休闲场馆
桌迷藏咖啡桌游吧(平安里店),其他休闲场馆
桌迷藏咖啡桌游吧(大悦城店),其他休闲场馆
桌迷藏咖啡桌游(望京店),其他休闲场馆
桌迷藏咖啡桌游(双井店),其他休闲场馆
拙意茶·瓷空间,酒吧茶馆
拙艺手作银饰DIY(常营店),其他休闲场馆
准时到校(前门分店),其他休闲场馆
准度台球,其他休闲场馆
首创郎园Station-准点剧场,剧场
准爸爸男士瑞乐美分娩阵痛体验,其他休闲场馆
追星迹360 °球幕,其他休闲场馆
追浪游泳俱乐部(五洲皇冠店),体育俱乐部
追浪游泳俱乐部(王府井店),体育俱乐部
追浪游泳俱乐部(大屯路店),体育俱乐部
追咖啡,咖啡厅
追风台球俱乐部,体育俱乐部
追风台球,其他体育场馆
撞咖美式咖啡店(知春东里社区店),咖啡厅
撞咖|一家只有美式的咖啡店(望京小街店),咖啡厅
撞咖|一家只有美式的咖啡店(辉煌国际店),咖啡厅
壵吧,咖啡厅
壮壮健身,其他体育场馆
壮壮草莓釆摘园,其他休闲场馆
壮美茶楼,酒吧茶馆
装机所培训中心,培训机构
装备指挥学院游泳馆,其他体育场馆
庄子村娱乐健身中心,其他体育场馆
庄镇老年活动站,其他休闲场馆
庄园高尔夫,其他体育场馆
庄头峪克林红香酥梨采摘园,其他休闲场馆
庄头峪村百杏园,其他休闲场馆
庄胜广场,写字楼
庄胜二期游泳馆,其他体育场馆
庄胜崇光百货(宣武门店),综合商场
庄户人欧李产销专业合作社,其他休闲场馆
转业军官培训中心,培训机构
转速红区休闲吧,咖啡厅
转年鸽子堂公园,生态公园
转马广场,城市广场
转角咖啡,咖啡厅
转角diy手作体验馆,其他休闲场馆
转角,咖啡厅
转湖锻城门水利风景区-篮球场,其他体育场馆
砖筑精酿民宿,酒吧茶馆
砖瓦窑雷锋村雷锋纪念馆(筹),纪念馆
砖聚bar,酒吧茶馆
专注普拉提健身,其他体育场馆
专营花茶老北京茶园,酒吧茶馆
专业儿童体育训练馆,其他体育场馆
专享健身,其他体育场馆
拽诺依品茶馆,酒吧茶馆
拽马戏剧餐吧,酒吧茶馆
抓娃娃机(中商华贸商厦店),其他休闲场馆
抓娃娃机(银泰百货北京大红门店),其他休闲场馆
抓娃娃机(新天店),其他休闲场馆
抓娃娃机(万达广场北京石景山店),其他休闲场馆
抓娃娃机(瑞程奥特莱斯店),其他休闲场馆
抓娃娃机(北京城乡世纪广场),其他休闲场馆
抓娃娃机,其他休闲场馆
抓娃DRAWA(金逸中关村店),其他休闲场馆
抓馬娱乐·剧本杀·狼人杀·桌游,其他休闲场馆
抓马教育中心,培训机构
抓马X空间,其他休闲场馆
箸,咖啡厅
筑中美术馆,美术馆
筑梦之星SOHO3Q-光华路3Q,其他休闲场馆
筑梦谷沉浸式剧场,其他休闲场馆
筑福羽毛球馆,其他体育场馆
筑福家园中心社区图书馆,其他休闲场馆
铸造艺术馆,
铸造美术馆,
铸诚大厦,写字楼
铸巢美术馆,
柱子草莓采摘,其他休闲场馆
驻京办,酒吧茶馆
驻华美国大使馆,
驻华韩国文化院,艺术中心
住总万科广场,综合商场
住总万科东侧游园,游园
住总万科TBD新五街,综合商场
住总集团有限责任公司管理人员培训中心,培训机构
住总·塘悦电影小镇,产业园区
助学书店(高塔路),书店
助府,酒吧茶馆
煮海 岩茶社会(烜德商务中心店),酒吧茶馆
煮茶官·葡萄院子,酒吧茶馆
主席台画廊,画廊
主题雕塑广场,城市广场
主食厨房,集市市场
主入口广场,城市广场
主角儿轰趴馆,其他休闲场馆
主机弹(五道口店),其他休闲场馆
主机弹(宋家庄店),其他休闲场馆
主机弹(朝悦店),其他休闲场馆
主场篮球公园灵动星空馆,其他体育场馆
主场篮球公园(亦庄店),其他体育场馆
烛雅榭茶室,酒吧茶馆
烛下,其他休闲场馆
烛生活,其他休闲场馆
烛咖啡,咖啡厅
烛光茶艺馆,酒吧茶馆
烛Candle Bar·Caffe(青年路店),酒吧茶馆
逐梦乒乓,其他体育场馆
逐梦篮球,其他体育场馆
逐梦法式刺绣diy工作室,其他休闲场馆
逐鹿茶楼(知春路店),酒吧茶馆
逐鹿茶楼(学院路店),酒吧茶馆
逐鹿茶楼(望京店),酒吧茶馆
逐鹿·古风实景剧本推理社,其他休闲场馆
逐鹤•剧本推理社(通州梨园店),其他休闲场馆
逐风平衡车俱乐部(后沙峪店),体育俱乐部
竺莲茶室,酒吧茶馆
竹叶青峨眉高山绿茶(天竺家乐福店),酒吧茶馆
竹叶青峨眉高山绿茶(朝北欧尚店),酒吧茶馆
竹叶青茶馆,酒吧茶馆
竹叶青茶(国贸店),酒吧茶馆
竹也茶堂(比如世界购物中心店),酒吧茶馆
竹心阁,酒吧茶馆
竹溪涧,酒吧茶馆
竹溪花苑,集市市场
竹外茶空间,酒吧茶馆
竹唐(青田大厦店),酒吧茶馆
竹石间·团建年会亲子生日采摘烧烤,其他休闲场馆
竹里馆垂钓园,其他休闲场馆
竹里Lounge,酒吧茶馆
竹里,酒吧茶馆
竹君私家花园,其他休闲场馆
竹静轩,其他休闲场馆
猪猪堡综合娱乐空间剧本推理俱乐部,体育俱乐部
猪猪堡•元宇宙剧本杀推理社,其他休闲场馆
猪猪堡·雾都剧社·沉浸式剧本杀,其他休闲场馆
猪窝儿轰趴足球主题小院,其他休闲场馆
猪头酒吧,酒吧茶馆
猪岛·剧本推理,其他休闲场馆
猪八戒科技园总部3栋,产业园区
诸园,其他户外景区
珠影耳东传奇影城1号厅(蓝色港湾),电影院
珠影耳东传奇影城,电影院
珠窝村,
珠市口西大街社区公园,社区公园
珠市口东大街休闲广场,游园
珠联早市,集市市场
珠江云港展示中心,展览馆
珠江四季广场,城市广场
珠江摩尔国际大厦,写字楼
珠江绿洲文化广场,城市广场
珠江绿洲家园,住宅楼
珠江绿洲,住宅楼
珠江罗马嘉园西区网球场,其他体育场馆
珠江罗马嘉园,住宅楼
珠江骏景北区健身苑,其他体育场馆
珠江帝景B区艺术眼画室,培训机构
珠江帝景,住宅楼
珠江帝景,住宅楼
珠江·峰景,住宅楼
侏罗纪世界大冒险,其他休闲场馆
朱雀门保龄球馆,其他体育场馆
朱启钤故宅,纪念馆
朱南社区公园,游园
朱乃正艺术研究中心,
朱老板采摘园,其他休闲场馆
朱钧工作室,
朱眷民宿,其他休闲场馆
朱家胡同45号茶室,酒吧茶馆
朱家垡村活动服务中心,其他休闲场馆
朱国凡良子健康管理中心(月坛店),其他体育场馆
朱国凡良子(亚运村店),其他体育场馆
朱各庄街心花园,游园
朱大妈采摘园,其他休闲场馆
朱炳仁铜非遗生活体验馆,其他休闲场馆
昼夜推理馆(东直门店),其他休闲场馆
昼夜街书吧,其他休闲场馆
昼夜沉浸剧本杀·血染钟楼联赛(方庄店),其他休闲场馆
宙影电玩社,其他休闲场馆
宙斯雷霆·次世代主机游戏馆,其他休闲场馆
轴心影视,电影院
周庄游泳健身中心,其他体育场馆
周营大集,集市市场
周易社区文体广场,城市广场
周宁运动空间(亦庄店),其他体育场馆
周宁高尔夫,其他体育场馆
周末相声俱乐部,体育俱乐部
周末农场,其他休闲场馆
周末轰趴团建拓展年会聚会(西二旗减压店),其他休闲场馆
周末轰趴馆(兴隆店),其他休闲场馆
周末轰趴馆(潞城店独院轰趴),其他休闲场馆
周末轰趴馆(龙庆峡别墅店),其他休闲场馆
周末轰趴馆(怀柔采摘轰趴),其他休闲场馆
周末轰趴馆(高碑店店),其他休闲场馆
周末轰趴馆(白庙店河景轰趴),其他休闲场馆
周末轰趴·小聚会·铁板·剧本杀店,其他休闲场馆
周末轰趴·小聚会·牛排·日料·剧本,其他休闲场馆
周末轰趴·团建年会聚会KTV(五道口ins风主题店),其他休闲场馆
周末轰趴·团建年会聚会(乌托邦工厂店),其他休闲场馆
周末轰趴·烧鸟·居酒屋·小聚会团建,其他休闲场馆
周末轰趴(小汤山别墅休闲办公店),其他休闲场馆
周末8,其他休闲场馆
周立忠温室大棚桃,其他休闲场馆
周口店镇综合文化中心,文化活动中心（街道）
周口店遗址-休闲广场,城市广场
周口店遗址-科学家纪念园,纪念馆
周口店遗址博物馆,博物馆
周口店文化广场,城市广场
周口店坡峰岭风景区,其他户外景区
周口店北京人遗址博物馆,博物馆
周家庄文化体育公园,专类公园
周家庄村党群活动中心,其他休闲场馆
周家巷农业发展有限公司,其他休闲场馆
周家巷观光采摘园,其他休闲场馆
周大福自助购物屏(万达广场通州店),综合商场
周大福珠宝金行有限公司(国泰百货店),综合商场
周大福石景山万达广场店,其他休闲场馆
周大福国瑞购物中心店,综合商场
周大福(蓝色港湾购物中心北区),综合商场
周棒球,其他体育场馆
州哥健身私教工作室,其他体育场馆
舟木健身工作室(十里堡店),其他体育场馆
舟木健身工作室(慈云寺店),其他体育场馆
重熊跤馆,其他体育场馆
重塑健身工作室,其他体育场馆
重塑健身房,其他体育场馆
重塑健身,其他体育场馆
重生私人健身俱乐部,体育俱乐部
重庆向北BAR,酒吧茶馆
重庆大学中建一局北京技术培训中心,培训机构
重庆大学网络教育学院北京校外学习中心,培训机构
重启沉浸式剧本杀,其他休闲场馆
重楼茶室(第三区商业街店),酒吧茶馆
重聚园社区公园,社区公园
重华馆,其他休闲场馆
众智轩大红袍,酒吧茶馆
众之北健身工作室,其他体育场馆
众运大厦,写字楼
众瑜·瑜伽,其他体育场馆
众友宏缘文化交流中心,培训机构
众益阳光赛鸽俱乐部,体育俱乐部
众兴园林花木中心,集市市场
众兴园林花木绿植中心,集市市场
众兴垂钓园,其他休闲场馆
众星烟酒茶行,酒吧茶馆
众信世纪商厦,综合商场
众鑫文化交流中心,其他休闲场馆
众鑫跑腿,其他体育场馆
众心游泳培训俱乐部(永安里店),体育俱乐部
众心游泳培训俱乐部(西国贸大酒店店),体育俱乐部
众心游泳培训俱乐部(首都宾馆店),体育俱乐部
众心游泳培训俱乐部(呼家楼店),体育俱乐部
众心游泳培训俱乐部(和平西桥店),体育俱乐部
